evt_block_number,evt_block_time,evt_tx_hash,owner,origin,amount,amount0,amount1,tick_lower,tick_upper,evt_index
19152489,2024-02-04 09:09:47,0x28626dcf8e09bb5170f56a98509c75b3c1bfda33e974ba41aaa355f486c67dc9,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xbf0f1a907967cabddf946693155c71d174bff7de,7426101613735953700792,6.660107466740375234,8.162396802541891831,-290,-250,117
19494740,2024-03-23 08:51:35,0x28855eeab85283c999685d2c62c2c8dc1301a49125305686dc8a1d0fdde9b694,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,1,0,0,-340,-280,88
19494740,2024-03-23 08:51:35,0x28855eeab85283c999685d2c62c2c8dc1301a49125305686dc8a1d0fdde9b694,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,0,0,0,-340,-280,90
19494740,2024-03-23 08:51:35,0x28855eeab85283c999685d2c62c2c8dc1301a49125305686dc8a1d0fdde9b694,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,506508900659407769499007,1302.169365042030596664,2472.41477043742708916,-370,-220,96
19148220,2024-02-03 18:47:35,0x28e2507bcee546d3402465c74810e4ada25a5fb0b60377995deadd659ed10b37,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,172204521757733982044160,87.289920229375918193,0,-280,-270,79
19765763,2024-04-30 09:33:23,0x2b175eec8748a327f844343431fc36bd428b717ba98329f2d3ba0ff9c266eb5b,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,1,0,0,-380,-320,211
19765763,2024-04-30 09:33:23,0x2b175eec8748a327f844343431fc36bd428b717ba98329f2d3ba0ff9c266eb5b,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,0,0,0,-380,-320,213
19765763,2024-04-30 09:33:23,0x2b175eec8748a327f844343431fc36bd428b717ba98329f2d3ba0ff9c266eb5b,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,1,0,0,-370,-340,219
19765763,2024-04-30 09:33:23,0x2b175eec8748a327f844343431fc36bd428b717ba98329f2d3ba0ff9c266eb5b,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,0,0,0,-370,-340,221
19480108,2024-03-21 07:34:47,0x2b1ca247745a7ea64a8bf3f2ff01f949801efe6574b44957c288a699c0df57a7,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,1229736341003158914334720,623.349410419935100142,0,-280,-270,46
19930029,2024-05-23 08:54:59,0x2b9ebc12463e2bd515db02767e33f10a93b82350559abe94cff4936a920a36bb,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x63b6fbe304a013cbfd959f006950761bed6e53b1,1303710944076316722,0.024347453788363707,0.015891981502061918,-620,0,356
19480546,2024-03-21 09:03:47,0x2be8deaac3a193403974a34f5115e0c4b8d47aa564034b3679d0adfee6c821bc,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,1268143831258908921430016,325.77962267909497331,308.373071607063440835,-310,-300,43
19946032,2024-05-25 14:35:11,0x2e4ae2239b468dfcc51880c04c3af88b950d88941f528f7ab6b54bc548fd75fe,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xe6d7f4b65c774395d0d82aabb15c75991628cb14,254744216176586859540493,129.776256320740255071,0,-380,-370,232
19946032,2024-05-25 14:35:11,0x2e4ae2239b468dfcc51880c04c3af88b950d88941f528f7ab6b54bc548fd75fe,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xe6d7f4b65c774395d0d82aabb15c75991628cb14,0,0,0,-380,-370,234
19686977,2024-04-19 09:01:47,0x2f435635de583f456633a1fc0fd375e90d87165409bb32fcfa5791e3a8c841e9,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,1604439036775179350288795,3190.961283687962937569,1644.43382507866713643,-370,-310,27
19686977,2024-04-19 09:01:47,0x2f435635de583f456633a1fc0fd375e90d87165409bb32fcfa5791e3a8c841e9,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,7226261708229383209509824,7029.388539553957367235,3858.77978363030394125,-360,-330,39
19340058,2024-03-01 16:34:23,0x31597d5130c52e123154c3d90e4f17606c4fa89f1c05097b0ec8378fdc10fb74,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,178872546580944134340608,79.405509588140921693,11.119053019609112157,-330,-320,15
19276075,2024-02-21 17:36:47,0x36c73841f7d70ae620605517bf90339fce1c45b13aa98a737ff97728316380d1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xbdfa4f4492dd7b7cf211209c4791af8d52bf5c50,2332821052756367816696,5.865279548209270773,24.048352807152694498,-510,-250,164
19592615,2024-04-06 03:48:35,0x372df947774f073aa45b77feb33be7f94c09cebed3b4ce83f371b72f5c80f891,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,1,0,0,-370,-310,26
