Tick, Second, Min, Hour, Day, Month, Year, LP_token1, LP_token0, Trader_token1, Trader_token0
3, 259200.0, 4320.0, 72.0, 3.0, 0.1, 0.00821917808219178, 109999999323533.55, 999999999721.9298, 5499999999703963.0, 5000000000000143.0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 109999999323533.55, 999999999721.9298, 5499999999749398.0, 5000000000000120.0
1, 86400.0, 1440.0, 24.0, 1.0, 0.03333333333333333, 0.0027397260273972603, 109999999323533.55, 999999999721.9298, 5499999999718345.0, 5000000000000135.0
2, 172800.0, 2880.0, 48.0, 2.0, 0.06666666666666667, 0.005479452054794521, 109999999308964.98, 999999999709.6493, 5499999999669509.0, 5000000000000159.0
3, 259200.0, 4320.0, 72.0, 3.0, 0.1, 0.00821917808219178, 109999999308964.98, 999999999709.6493, 5499999999683250.0, 5000000000000152.0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 109999999308964.98, 999999999709.6493, 5499999999648605.0, 5000000000000170.0
1, 86400.0, 1440.0, 24.0, 1.0, 0.03333333333333333, 0.0027397260273972603, 109999999308964.98, 999999999709.6493, 5499999999610401.0, 5000000000000189.0
2, 172800.0, 2880.0, 48.0, 2.0, 0.06666666666666667, 0.005479452054794521, 109999999294915.3, 999999999705.2391, 5499999999643546.0, 5000000000000172.0
3, 259200.0, 4320.0, 72.0, 3.0, 0.1, 0.00821917808219178, 109999999294915.3, 999999999705.2391, 5499999999611817.0, 5000000000000188.0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 109999999294915.3, 999999999705.2391, 5499999999625859.0, 5000000000000181.0
1, 86400.0, 1440.0, 24.0, 1.0, 0.03333333333333333, 0.0027397260273972603, 109999999288978.53, 999999999703.7766, 5499999999668372.0, 5000000000000160.0
2, 172800.0, 2880.0, 48.0, 2.0, 0.06666666666666667, 0.005479452054794521, 109999999288978.53, 999999999703.7766, 5499999999657507.0, 5000000000000165.0
3, 259200.0, 4320.0, 72.0, 3.0, 0.1, 0.00821917808219178, 109999999288978.53, 999999999703.7766, 5499999999675847.0, 5000000000000156.0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 109999999288978.53, 999999999703.7766, 5499999999631839.0, 5000000000000178.0
